ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
NFLX,EQUITY,marketCap,411208777728.0,97.08,,,0.4513691142050414,0.33717426730714095,1.8050259965337956,0.43350011201553285,2026-05-15,28,105.0,0.86,0.88,0.87,40668.0,12823.0,82467.0,0.08158220024721885,0.022988505747126457,0.00896168108776267,0.11682191417976337,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
BAC,EQUITY,marketCap,386868674560.0,53.99,1.1,0.02037414335988146,1.0067556239393,0.2183798027260644,0.8904061624649862,0.28009210801758433,2026-05-15,28,57.5,0.26,0.27,0.265,20668.0,877.0,54521.0,0.06501203926653076,0.03773584905660381,0.004908316354880533,0.06398340962612123,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
CAT,EQUITY,marketCap,372154531840.0,796.97,5.94,0.007453229105236082,1.4799587538666608,0.31981904845925924,2.5952090946000816,0.3428804452120514,2026-05-15,28,860.0,13.4,14.35,13.875,192.0,33.0,3479.0,0.07908704217222717,0.06846846846846842,0.017409689197836805,0.2269477341860869,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
ABBV,EQUITY,marketCap,371068633088.0,209.59,6.74,0.0321580228064316,0.4096192990839762,0.2533807940500003,0.28809392095396147,0.21462198836887292,2026-05-15,28,230.0,1.32,1.55,1.435,3130.0,657.0,16388.0,0.09738060021947614,0.1602787456445993,0.00684670070136934,0.08925163414285033,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
CVX,EQUITY,marketCap,363969708032.0,183.61,6.91,0.037634115788900385,0.0594782055687473,0.2189912617235685,0.06676738915683655,0.22448387845047557,2026-05-15,28,200.0,1.18,1.34,1.26,10443.0,1968.0,34594.0,0.08926529056151611,0.1269841269841271,0.006862371330537552,0.08945591198736451,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
PLTR,EQUITY,marketCap,352078594048.0,146.43,,,1.9110085099030396,0.5317073003401408,16.066433566433567,0.4061145883485796,2026-05-15,28,160.0,4.85,5.0,4.925,12432.0,2289.0,102548.0,0.09267226661203298,0.030456852791878247,0.03363381820665164,0.4384408444795661,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
HD,EQUITY,marketCap,347862663168.0,349.41,9.23,0.026415958329755875,0.8191306719317963,0.23064011846491247,0.19599520794112624,0.26102881517027154,2026-05-15,28,375.0,1.88,2.17,2.025,556.0,66.0,7486.0,0.07323774362496782,0.1432098765432099,0.005795483815574825,0.07554827116731469,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
INTC,EQUITY,marketCap,344090345472.0,68.03,,,1.965335595137078,0.6365600799177209,1.1170245876128226,0.642828999211978,2026-05-15,28,72.5,3.9,4.0,3.95,0.0,392.0,74312.0,0.06570630604145222,0.025316455696202552,0.05806261943260326,0.7568877176035782,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
PG,EQUITY,marketCap,343628316672.0,147.34,4.2272,0.028690104520157456,0.08881010277962947,0.18150803611114305,-0.02912301508862103,0.23183082915971065,2026-05-15,28,160.0,0.38,0.43,0.405,8100.0,241.0,33563.0,0.08592371385910136,0.12345679012345676,0.0027487444007058505,0.03583184665205841,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
CSCO,EQUITY,marketCap,340050968576.0,86.15,1.65,0.019152640742890307,0.9045731530649359,0.2524988362775942,0.6958661417322836,0.22648686030428766,2026-05-15,28,92.5,0.93,1.02,0.9750000000000001,0.0,925.0,16585.0,0.07370864770748686,0.09230769230769227,0.011317469529889728,0.14753129922891967,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
LRCX,EQUITY,marketCap,334618820608.0,266.85,1.01,0.0037848978827056397,2.381982286802556,0.4872392717815161,4.354133226324238,0.4758271977290872,2026-05-15,28,290.0,10.35,10.9,10.625,708.0,99.0,23437.0,0.08675285741053007,0.05176470588235301,0.03981637624133408,0.5190349045745335,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
KO,EQUITY,marketCap,326200983552.0,75.98,2.06,0.027112397999473545,-0.062443824309888034,0.15929530012605267,0.20316706254948547,0.18538102643856913,2026-05-15,28,82.5,0.12,0.16,0.14,6041.0,59.0,42474.0,0.08581205580415885,0.28571428571428575,0.0018425901553040275,0.024019478810213216,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
GE,EQUITY,marketCap,323933339648.0,306.985,1.55,0.005049106633874619,1.1843395541696917,0.29543011552452736,3.082047872340426,0.21364257766463957,2026-05-15,28,330.0,4.7,5.15,4.925000000000001,1347.0,96.0,16997.0,0.07497108979266076,0.09137055837563454,0.016043129143117743,0.20913364775849913,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
AMAT,EQUITY,marketCap,310222094336.0,393.6,1.84,0.00467479674796748,1.9942237384044235,0.4479397673651606,2.468582004053935,0.5020982860728713,2026-05-15,28,430.0,11.25,12.35,11.8,1600.0,106.0,17089.0,0.09247967479674801,0.09322033898305081,0.029979674796747968,0.39080647502903604,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
MS,EQUITY,marketCap,301225017344.0,189.76,3.925,0.020684021922428332,1.3655265792705602,0.2585100549250656,1.2144941066635546,0.29238729798695784,2026-05-15,28,200.0,1.79,1.89,1.8399999999999999,2812.0,722.0,7312.0,0.053962900505902134,0.05434782608695645,0.0096964586846543,0.1264002649963864,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
