symbol,security,gics sector,gics sub-industry,headquarters location,date added,cik,founded,date,asset_type,size_metric,market_bucket,candidate_status,candidate_fail_reasons
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,2025-08-23,EQUITY,363969708032.0,equity,PASS,
PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado",2024-09-23,1321655,2003,2025-08-23,EQUITY,352078594048.0,equity,PASS,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,2025-08-23,EQUITY,347862663168.0,equity,PASS,
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,2025-08-23,EQUITY,344090345472.0,equity,PASS,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837,2025-08-23,EQUITY,343628316672.0,equity,PASS,
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,2025-08-23,EQUITY,340050968576.0,equity,PASS,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549,1980,2025-08-23,EQUITY,334618820608.0,equity,PASS,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,2025-08-23,EQUITY,326200983552.0,equity,PASS,
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957-03-04,40545,1892,2025-08-23,EQUITY,323933339648.0,equity,PASS,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967,2025-08-23,EQUITY,310222094336.0,equity,PASS,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,895421,1935,2025-08-23,EQUITY,301225017344.0,equity,PASS,
